X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
69.972,5550.05,69.972,5553.043,69.972,7089.522,69.972,5097.959,69.972,6909.224,69.972,6334.471,69.971,5683.431
70.917,5523.675,70.917,5544.61,70.917,7092.941,70.917,5105.803,70.917,6921.109,70.917,6360.062,70.917,5663.702
71.863,5536.021,71.863,5530.08,71.863,7077.612,71.863,5140.365,71.863,6924.376,71.863,6337.992,71.863,5687.148
72.808,5567.479,72.808,5512.967,72.808,7077.056,72.808,5118.409,72.808,6925.633,72.808,6347.245,72.808,5692.169
73.754,5575.069,73.754,5532.19,73.754,7045.312,73.754,5049.05,73.754,6931.432,73.754,6338.29,73.754,5684.872
74.699,5543.672,74.699,5548.206,74.699,7082.186,74.699,5083.468,74.699,6922.965,74.699,6335.092,74.699,5687.276
75.645,5580.057,75.645,5542.281,75.645,7086.161,75.645,5065.295,75.645,6918.466,75.645,6320.74,75.645,5691.069
76.59,5594.962,76.59,5535.006,76.59,7067.118,76.59,5074.201,76.59,6939.136,76.59,6347.606,76.59,5658.33
77.536,5542.918,77.536,5517.287,77.536,7105.702,77.536,5103.401,77.536,6928.024,77.536,6326.762,77.536,5617.416
78.482,5558.506,78.482,5553.602,78.482,7072.007,78.482,5088.957,78.482,6889.446,78.482,6339.593,78.482,5673.051
79.427,5545.828,79.427,5509.293,79.427,7092.075,79.427,5090.043,79.427,6894.319,79.427,6372.155,79.427,5641.757
80.373,5572.191,80.373,5530.222,80.373,7110.542,80.373,5104.27,80.373,6950.505,80.373,6336.682,80.373,5673.012
81.318,5553.076,81.318,5513.188,81.318,7097.815,81.318,5124.063,81.318,6901.596,81.318,6302.986,81.318,5686.211
82.264,5541.423,82.264,5548.32,82.264,7086.962,82.264,5067.951,82.264,6897.286,82.264,6333.308,82.264,5681.881
83.209,5562.279,83.209,5496.96,83.209,7051.295,83.209,5088.923,83.209,6856.981,83.209,6295.213,83.209,5648.652
84.155,5548.054,84.155,5544.188,84.155,7057.133,84.155,5041.908,84.155,6906.631,84.155,6344.247,84.155,5660.857
85.101,5556.281,85.101,5523.562,85.101,7079.886,85.101,5066.25,85.101,6883.849,85.101,6347.289,85.1,5675.252
86.046,5597.435,86.046,5544.069,86.046,7071.836,86.046,5071.297,86.046,6899.227,86.046,6354.74,86.046,5634.588
86.992,5579.226,86.992,5495.489,86.992,7030.492,86.992,5075.408,86.992,6905.156,86.992,6355.051,86.992,5676.71
87.937,5507.383,87.937,5549.595,87.937,7089.133,87.937,5010.763,87.937,6889.781,87.937,6325.015,87.937,5654.51
88.883,5574.412,88.883,5510.214,88.883,7074.625,88.883,5070.009,88.883,6911.23,88.883,6338.622,88.883,5663.096
89.828,5577.525,89.828,5554.443,89.828,7033.626,89.828,5047.604,89.828,6866.328,89.828,6308.359,89.828,5658.487
90.774,5535.766,90.774,5537.225,90.774,7044.9,90.774,5076.263,90.774,6907.042,90.774,6327.596,90.774,5671.445
91.719,5574.347,91.719,5512.71,91.719,7024.602,91.719,5057.363,91.719,6885.978,91.719,6297.832,91.719,5665.355
92.665,5520.432,92.665,5532.361,92.665,7034.64,92.665,5098.527,92.665,6901.749,92.665,6326.957,92.665,5675.786
93.611,5588.089,93.611,5570.519,93.611,7044.869,93.611,5093.301,93.611,6871.919,93.611,6333.305,93.611,5659.377
94.556,5572.069,94.556,5517.431,94.556,7047.401,94.556,5039.738,94.556,6904.225,94.556,6356.283,94.556,5664.938
95.502,5577.215,95.502,5522.912,95.502,7072.261,95.502,5040.974,95.502,6902.512,95.502,6366.912,95.502,5664.111
96.447,5568.602,96.447,5519.673,96.447,7052.495,96.447,5077.045,96.447,6876.243,96.447,6352.638,96.447,5652.107
97.393,5559.334,97.393,5583.099,97.393,7027.065,97.393,5053.181,97.393,6888.974,97.393,6316.069,97.393,5637.204
98.338,5559.522,98.338,5508.292,98.338,7014.524,98.338,5018.819,98.338,6870.582,98.338,6330.815,98.338,5651.764
99.284,5581.729,99.284,5534.74,99.284,7031.449,99.284,5065.527,99.284,6888.271,99.284,6339.05,99.284,5649.578
100.23,5618.434,100.23,5521.796,100.23,7070.662,100.23,5052.47,100.23,6902.494,100.23,6308.917,100.229,5634.738
101.175,5587.955,101.175,5519.669,101.175,7041.131,101.175,5031.526,101.175,6863.938,101.175,6320.429,101.175,5660.114
102.121,5619.628,102.121,5516.736,102.121,7027.785,102.121,5068.212,102.121,6891.525,102.121,6341.909,102.121,5646.005
103.066,5569.815,103.066,5521.958,103.066,7013.979,103.066,5042.331,103.066,6885.725,103.066,6303.842,103.066,5623.193
104.012,5627.503,104.012,5503.127,104.012,7027.004,104.012,5024.844,104.012,6884.603,104.012,6314.331,104.012,5638.105
104.957,5585.833,104.957,5484.177,104.957,7020.62,104.957,5021.023,104.957,6832.912,104.957,6397.21,104.957,5660.938
105.903,5611.999,105.903,5510.425,105.903,7020.437,105.903,5055.137,105.903,6881.887,105.903,6321.3,105.903,5640.809
106.848,5624.542,106.848,5517.11,106.848,7039.37,106.848,5051.093,106.848,6881.147,106.848,6314.422,106.848,5672.177
107.794,5605.15,107.794,5528.008,107.794,6999.754,107.794,5049.339,107.794,6874.918,107.794,6310.253,107.794,5614.459
108.74,5604.48,108.74,5505.667,108.74,7031.247,108.74,5068.269,108.74,6872.164,108.74,6341.334,108.739,5643.077
109.685,5621.835,109.685,5515.42,109.685,7043.847,109.685,5051.858,109.685,6887.943,109.685,6294.691,109.685,5662.426
110.631,5596.689,110.631,5483.574,110.631,7039.544,110.631,5045.446,110.631,6827.835,110.631,6338.13,110.631,5648.728
111.576,5600.206,111.576,5522.015,111.576,7015.991,111.576,5047.095,111.576,6870.167,111.576,6348.643,111.576,5643.44
112.522,5621.072,112.522,5522.195,112.522,7032.225,112.522,4992.678,112.522,6841.11,112.522,6344.2,112.522,5629.998
113.467,5628.328,113.467,5446.729,113.467,7024.649,113.467,5021.812,113.467,6865.828,113.467,6378.858,113.467,5649.597
114.413,5611.622,114.413,5484.202,114.413,7041.352,114.413,5024.213,114.413,6854.569,114.413,6343.746,114.413,5629.924
115.359,5566.211,115.359,5504.27,115.359,6992.806,115.359,5050.907,115.359,6873.852,115.359,6341.283,115.358,5674.621
116.304,5610.778,116.304,5433.213,116.304,7026.093,116.304,5036.079,116.304,6881.919,116.304,6337.339,116.304,5663.789
117.25,5668.141,117.25,5539.124,117.25,7019.366,117.25,5004.383,117.25,6828.128,117.25,6329.217,117.25,5634.598
118.195,5589.372,118.195,5565.579,118.195,7019.314,118.195,5048.286,118.195,6911.64,118.195,6338.978,118.195,5666.516
119.141,5632.834,119.141,5594.324,119.141,7001.98,119.141,5037.829,119.141,6847.78,119.141,6328.788,119.141,5621.545
120.086,5594.287,120.086,5570.371,120.086,7032.57,120.086,5032.653,120.086,6886.823,120.086,6350.231,120.086,5618.927
121.032,5631.171,121.032,5535.674,121.032,7019.788,121.032,5029.916,121.032,6897.25,121.032,6335.111,121.032,5647.54
121.977,5655.628,121.977,5570.548,121.977,7011.964,121.977,5006.106,121.977,6871.885,121.977,6324.547,121.977,5679.052
122.923,5635.968,122.923,5556.033,122.923,7021.244,122.923,5004.008,122.923,6874.447,122.923,6364.381,122.923,5639.046
123.869,5623.323,123.869,5554.699,123.869,6989.689,123.869,5057.188,123.869,6857.243,123.869,6383.663,123.868,5647.097
124.814,5606.003,124.814,5567.821,124.814,7017.207,124.814,4997.114,124.814,6883.358,124.814,6342.531,124.814,5661.746
125.76,5623.698,125.76,5553.577,125.76,7016.211,125.76,5015.741,125.76,6840.363,125.76,6346.483,125.76,5620.576
126.705,5563.03,126.705,5547.834,126.705,7022.408,126.705,5021.858,126.705,6854.699,126.705,6346.992,126.705,5592.061
127.651,5620.966,127.651,5545.498,127.651,7023.055,127.651,5043.198,127.651,6878.564,127.651,6353.827,127.651,5642.561
128.596,5627.306,128.596,5555.554,128.596,6977.812,128.596,5036.251,128.596,6865.464,128.596,6296.078,128.596,5647.399
129.542,5643.939,129.542,5553.151,129.542,7009.952,129.542,5001.244,129.542,6939.335,129.542,6317.895,129.542,5662.664
130.488,5624.605,130.488,5542.875,130.488,6979.152,130.488,5020.51,130.487,6943.481,130.488,6322.292,130.487,5649.717
131.433,5636.363,131.433,5538.821,131.433,6990.83,131.433,5016.666,131.433,6935.013,131.433,6290.965,131.433,5624.839
132.379,5600.263,132.379,5549.516,132.379,7001.629,132.379,5037.1,132.379,6927.261,132.379,6317.159,132.378,5612.271
133.324,5655.753,133.324,5562.045,133.324,6981.122,133.324,5033.847,133.324,6948.998,133.324,6329.838,133.324,5652.925
134.27,5616.082,134.27,5553.557,134.27,7007.52,134.27,5020,134.27,6904.135,134.27,6304.364,134.27,5641.065
135.215,5598.115,135.215,5528.571,135.215,7006.417,135.215,5060.713,135.215,6926.431,135.215,6336.666,135.215,5618.383
136.161,5624.651,136.161,5553.755,136.161,7007.198,136.161,5041.297,136.161,6927.026,136.161,6336.1,136.161,5622.257
137.106,5612.953,137.106,5550.222,137.106,6996.536,137.106,5016.72,137.106,6885.856,137.106,6323.603,137.106,5623.139
138.052,5627.649,138.052,5536.945,138.052,7018.357,138.052,5042.078,138.052,6887.573,138.052,6315.325,138.052,5617.222
138.998,5621.624,138.998,5522.607,138.998,6978.477,138.998,5011.195,138.998,6879.967,138.998,6343.95,138.997,5630.326
139.943,5610.926,139.943,5533.026,139.943,6971.333,139.943,5016.716,139.943,6890.349,139.943,6348.668,139.943,5660.181
140.889,5634.663,140.889,5538.715,140.889,7003.438,140.889,4973.576,140.889,6880.607,140.889,6309.723,140.889,5622.518
141.834,5666.338,141.834,5540.84,141.834,6994.379,141.834,4991.316,141.834,6878.406,141.834,6339.792,141.834,5642.89
142.78,5600.723,142.78,5544.937,142.78,6971.629,142.78,5025.66,142.78,6865.373,142.78,6316.751,142.78,5637.077
143.725,5660.534,143.725,5551.58,143.725,6989.367,143.725,5007.881,143.725,6845.172,143.725,6332.121,143.725,5617.481
144.671,5629.997,144.671,5549.222,144.671,6999.321,144.671,4994.792,144.671,6882.206,144.671,6321.853,144.671,5635.27
145.616,5623.693,145.616,5524.834,145.616,7004.857,145.616,4979.964,145.616,6892.906,145.616,6330.156,145.616,5641.111
146.562,5597.249,146.562,5539.012,146.562,6976.867,146.562,4999.388,146.562,6889.115,146.562,6317.193,146.562,5593.665
147.508,5643.327,147.508,5518.165,147.508,6988.299,147.508,5012.155,147.508,6864.829,147.508,6339.208,147.507,5626.55
148.453,5638.14,148.453,5512.347,148.453,6951.791,148.453,5037.388,148.453,6901.014,148.453,6330.927,148.453,5615.465
149.399,5658.454,149.399,5494.427,149.399,6968.924,149.399,4990.588,149.399,6891.696,149.399,6312.268,149.399,5630.329
150.344,5589.445,150.344,5503.785,150.344,6980.608,150.344,4993.276,150.344,6857.703,150.344,6353.311,150.344,5627.125
151.29,5622.319,151.29,5530.681,151.29,6988.213,151.29,5024.422,151.29,6826.646,151.29,6353.496,151.29,5604.32
152.235,5635.759,152.235,5548.503,152.235,6962.158,152.235,5019.591,152.235,6820.194,152.235,6378.076,152.235,5619.123
153.181,5613.815,153.181,5493.678,153.181,6993.758,153.181,5011.395,153.181,6845.757,153.181,6332.005,153.181,5594.88
154.127,5607.838,154.127,5514.07,154.127,6986.514,154.127,5002.315,154.127,6843.383,154.127,6316.889,154.126,5617.987
155.072,5622.479,155.072,5547.148,155.072,6958.472,155.072,4996.2,155.072,6838.268,155.072,6332.619,155.072,5611.211
156.018,5629.741,156.018,5520.311,156.018,6929.516,156.018,5014.019,156.018,6853.604,156.018,6333.015,156.018,5607.562
156.963,5646.659,156.963,5555.102,156.963,6942.958,156.963,4993.187,156.963,6823.666,156.963,6322.705,156.963,5611.2
157.909,5644.252,157.909,5522.699,157.909,6970.6,157.909,4992.035,157.909,6860.382,157.909,6329.905,157.909,5608.706
158.854,5652.416,158.854,5527.628,158.854,6949.057,158.854,4961.479,158.854,6848.183,158.854,6295.329,158.854,5595.601
159.8,5644.411,159.8,5549.834,159.8,6987.385,159.8,4998.974,159.8,6884.137,159.8,6341.595,159.8,5638.118
160.745,5668.964,160.745,5538.683,160.745,6954.633,160.745,5010.435,160.745,6896.203,160.745,6295.833,160.745,5578.422
161.691,5615.857,161.691,5525.535,161.691,6929.742,161.691,4982.737,161.691,6802.306,161.691,6304.667,161.691,5589.36
162.637,5597.121,162.637,5523.544,162.637,6963.911,162.637,5021.692,162.637,6872.112,162.637,6301.942,162.636,5591.601
163.582,5592.703,163.582,5524.341,163.582,6974.434,163.582,5026.717,163.582,6832.169,163.582,6300.726,163.582,5628.621
164.528,5615.685,164.528,5489.427,164.528,6990.125,164.528,5013.219,164.528,6842.684,164.528,6326.532,164.528,5627.733
165.473,5639.113,165.473,5496.018,165.473,6974.426,165.473,4964.06,165.473,6844.7,165.473,6315.592,165.473,5515.269
166.419,5610.564,166.419,5506.771,166.419,6986.86,166.419,4992.229,166.419,6793.111,166.419,6308.278,166.419,5695.537
167.364,5653.111,167.364,5536.136,167.364,6960.959,167.364,4989.221,167.364,6844.336,167.364,6303.035,167.364,5696.62
168.31,5612.423,168.31,5482.563,168.31,6968.04,168.31,4997.912,168.31,6804.562,168.31,6343.375,168.31,5678.305
169.256,5612.675,169.256,5509.463,169.256,6982.342,169.256,4984.658,169.256,6836.328,169.256,6325.218,169.255,5671.078
170.201,5634.363,170.201,5499.473,170.201,6944.623,170.201,4985.334,170.201,6845.084,170.201,6345.25,170.201,5633.327
171.147,5606.201,171.147,5486.61,171.147,6965.209,171.147,4992.379,171.147,6797.796,171.147,6297.037,171.146,5663.752
172.092,5667.222,172.092,5524.612,172.092,6974.473,172.092,5019.917,172.092,6834.374,172.092,6320.925,172.092,5631.208
173.038,5602.163,173.038,5522.641,173.038,6975.431,173.038,4982.357,173.038,6832.295,173.038,6271.505,173.038,5658.027
173.983,5644.562,173.983,5504.782,173.983,6943.939,173.983,4977.819,173.983,6853.777,173.983,6321.974,173.983,5638.775
174.929,5608.541,174.929,5492.292,174.929,6957.8,174.929,4971.267,174.929,6840.694,174.929,6291.964,174.929,5622.632
175.874,5610.895,175.874,5491.144,175.874,6965.363,175.874,4986.496,175.874,6780.892,175.874,6353.746,175.874,5666.905
176.82,5595.41,176.82,5499.851,176.82,7002.341,176.82,4975.414,176.82,6797.366,176.82,6436.819,176.82,5645.855
177.766,5583.57,177.766,5483.604,177.766,6955.073,177.766,4984.553,177.766,6783.334,177.766,6427.868,177.765,5657.184
178.711,5649.257,178.711,5479.816,178.711,6926.485,178.711,5004.363,178.711,6789.598,178.711,6398.549,178.711,5637.217
179.657,5617.113,179.657,5472.621,179.657,6920.646,179.657,4971.675,179.657,6811.652,179.657,6415.838,179.657,5659.698
180.602,5617.802,180.602,5477.212,180.602,6963.229,180.602,4957.313,180.602,6809.121,180.602,6420.004,180.602,5644.474
181.548,5581.756,181.548,5465.509,181.548,6937.79,181.548,4955.892,181.548,6820.883,181.548,6438.8,181.548,5630.834
182.493,5646.793,182.493,5481.845,182.493,6949.766,182.493,4941.548,182.493,6793.689,182.493,6428.729,182.493,5655.644
183.439,5579.513,183.439,5497.248,183.439,6947.964,183.439,5007.229,183.439,6810.43,183.439,6399.899,183.439,5640.355
184.385,5632.521,184.385,5469.418,184.385,6925.716,184.385,4946.094,184.384,6795.711,184.385,6389.114,184.384,5621.429
185.33,5618.93,185.33,5480.235,185.33,6945.911,185.33,4961.015,185.33,6773.711,185.33,6420.161,185.33,5657.294
186.276,5615.53,186.276,5472.883,186.276,6936.15,186.276,4967.581,186.276,6774.826,186.276,6385.592,186.275,5638.758
187.221,5625.289,187.221,5492.602,187.221,6959.516,187.221,4978.75,187.221,6778.479,187.221,6382.776,187.221,5634.302
188.167,5614.55,188.167,5470.613,188.167,6938.696,188.167,4921.641,188.167,6761.751,188.167,6363.325,188.167,5628.336
