[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean
40.735,12.20977,40.735,7.376786,40.735,5.598958,40.735,5.83085,40.735,11.08838
40.894,12.33908,40.894,7.417857,40.894,5.674479,40.894,5.812221,40.895,10.89141
41.054,12.30172,41.054,7.548214,41.054,5.726562,41.054,5.921013,41.054,10.84091
41.214,12.19828,41.214,7.628572,41.214,5.736979,41.214,5.909836,41.214,10.99495
41.374,12.21264,41.374,7.478571,41.374,5.723958,41.374,5.937407,41.374,11
41.533,12.28736,41.533,7.598214,41.533,5.710938,41.533,5.87854,41.533,10.89394
41.693,12.22989,41.693,7.492857,41.693,5.643229,41.693,5.879285,41.693,10.9798
41.853,12.20115,41.853,7.514286,41.853,5.59375,41.853,5.83383,41.853,10.97222
42.013,12.16667,42.013,7.55,42.013,5.677083,42.013,5.867362,42.013,11.05808
42.172,12.32471,42.172,7.458929,42.172,5.648438,42.172,5.83085,42.172,10.90152
42.332,12.23563,42.332,7.357143,42.332,5.723958,42.332,5.871833,42.332,11.12121
42.492,12.29023,42.492,7.4875,42.492,5.671875,42.492,5.862891,42.492,10.98737
42.652,12.27586,42.652,7.358929,42.652,5.731771,42.652,5.889717,42.652,11.06313
42.811,12.29023,42.811,7.421429,42.811,5.721354,42.811,5.956036,42.811,11.00758
42.971,12.09483,42.971,7.508929,42.971,5.669271,42.971,5.880775,42.971,10.90909
43.131,12.30172,43.131,7.3875,43.131,5.684896,43.131,5.9076,43.131,10.9596
43.291,12.22701,43.291,7.485714,43.291,5.695312,43.291,5.90611,43.291,10.87626
43.45,12.22701,43.45,7.4625,43.45,5.723958,43.45,5.953055,43.45,10.99747
43.61,12.37356,43.61,7.5625,43.61,5.789062,43.61,5.917288,43.61,11.00758
43.77,12.10057,43.77,7.505357,43.77,5.617188,43.77,5.891207,43.77,10.91162
43.93,12.22701,43.93,7.503572,43.93,5.729167,43.93,5.880775,43.93,10.97222
44.089,12.33333,44.089,7.492857,44.089,5.640625,44.089,5.849478,44.089,10.84848
44.249,12.23851,44.249,7.457143,44.249,5.763021,44.249,5.88301,44.249,11.07323
44.409,12.32471,44.409,7.478571,44.409,5.71875,44.409,5.912817,44.409,10.92424
44.569,12.1954,44.569,7.367857,44.569,5.6875,44.569,5.915052,44.569,10.97222
44.728,12.10345,44.728,7.389286,44.728,5.770833,44.728,5.891207,44.728,11.00253
44.888,12.08908,44.888,7.5125,44.888,5.71875,44.888,5.900894,44.888,10.82071
45.048,12.11207,45.048,7.598214,45.048,5.690104,45.048,5.894933,45.048,10.94444
45.208,12.03736,45.208,7.471428,45.208,5.653646,45.208,5.845753,45.208,10.87121
45.367,12.17529,45.367,7.5125,45.367,5.585938,45.367,5.839791,45.367,10.80808
45.527,12.26724,45.527,7.625,45.527,5.809896,45.527,5.899404,45.527,10.84091
45.687,12.02586,45.687,7.444643,45.687,5.664062,45.687,5.893443,45.687,10.99747
45.847,12.49713,45.847,7.583929,45.847,5.674479,45.847,5.901639,45.847,10.88889
46.006,12.18678,46.006,7.391071,46.006,5.622396,46.006,5.891953,46.006,10.96465
46.166,12.08621,46.166,7.417857,46.166,5.71875,46.166,5.853204,46.166,11.04545
46.326,12.35345,46.326,7.505357,46.326,5.674479,46.326,5.856185,46.326,11.07071
46.485,12.18966,46.485,7.492857,46.485,5.671875,46.485,5.876304,46.486,11.01515
46.645,12.00287,46.645,7.503572,46.645,5.520833,46.645,5.885991,46.645,10.86364
46.805,12.22126,46.805,7.432143,46.805,5.65625,46.805,5.824143,46.805,10.92172
46.965,12.37069,46.965,7.428571,46.965,5.716146,46.965,5.901639,46.965,10.85606
47.124,12.1523,47.124,7.45,47.124,5.604167,47.124,5.866617,47.125,10.94697
47.284,12.18678,47.284,7.448214,47.284,5.713542,47.284,5.935916,47.284,10.92929
47.444,12.27299,47.444,7.5,47.444,5.661458,47.444,5.834575,47.444,10.88384
47.604,11.98563,47.604,7.435714,47.604,5.679688,47.604,5.864381,47.604,10.65657
47.763,12.31034,47.763,7.480357,47.763,5.807292,47.763,5.908346,47.764,10.90657
47.923,12.28448,47.923,7.441072,47.923,5.635417,47.923,5.85544,47.923,10.81061
48.083,12.17816,48.083,7.4,48.083,5.664062,48.083,5.891207,48.083,10.83838
48.243,12.06897,48.243,7.489286,48.243,5.700521,48.243,5.891207,48.243,10.86869
48.402,12.29023,48.402,7.435714,48.402,5.703125,48.402,5.900894,48.402,10.95707
48.562,12.16954,48.562,7.405357,48.562,5.59375,48.562,5.862891,48.562,11.01263
48.722,12.13218,48.722,7.439286,48.722,5.588542,48.722,5.812966,48.722,10.88889
48.882,12.23851,48.882,7.471428,48.882,5.695312,48.882,5.871088,48.882,11.06061
49.041,12.1954,49.041,7.510714,49.041,5.643229,49.041,5.83085,49.041,10.81566
49.201,12.20977,49.201,7.516071,49.201,5.609375,49.201,5.864381,49.201,10.90657
