[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean
22.524,25.9569,22.524,35.87321,22.524,27.29657,22.524,12.89141
22.684,26.1408,22.684,35.60357,22.684,27.23249,22.684,12.99242
22.843,25.8966,22.843,35.54643,22.843,27.41729,22.843,12.93939
23.003,25.8793,23.003,35.64107,23.003,27.25037,23.003,12.7399
23.163,26.1408,23.163,35.40536,23.163,27.24814,23.163,12.99242
23.323,26.1264,23.323,35.54107,23.323,27.26379,23.323,12.81061
23.482,25.7845,23.482,35.65,23.482,27.32936,23.482,12.84091
23.642,25.7615,23.642,35.54464,23.642,27.30328,23.642,12.84091
23.802,26.0977,23.802,35.58393,23.802,27.26379,23.802,13.13131
23.962,26.0546,23.962,35.39821,23.962,27.37854,23.962,12.92424
24.121,25.9713,24.121,35.6375,24.121,27.19672,24.121,12.86111
24.281,25.9684,24.281,35.69286,24.281,27.1766,24.281,12.93939
24.441,26.2471,24.441,35.58214,24.441,27.28241,24.441,12.90152
24.601,26.0086,24.601,35.63929,24.601,27.30849,24.601,12.96212
24.76,26.158,24.76,35.22143,24.76,27.2541,24.76,12.93434
24.92,25.9598,24.92,35.62679,24.92,27.20045,24.92,13.03788
25.08,26.4253,25.08,35.725,25.08,27.24367,25.08,13.0101
25.24,26.0891,25.24,35.57322,25.24,27.32861,25.24,12.97475
25.399,26.0402,25.399,35.41429,25.399,27.21759,25.399,12.94192
25.559,26.0345,25.559,35.74821,25.559,27.11401,25.559,12.99495
25.719,25.9598,25.719,35.08571,25.719,27.20492,25.719,12.97727
25.879,25.9052,25.879,35.60714,25.879,26.99478,25.879,12.96212
26.038,25.9282,26.038,35.35893,26.038,27.02161,26.038,13.05808
26.198,25.9167,26.198,35.48036,26.198,27.269,26.198,12.96465
26.358,26.092,26.358,35.32143,26.358,27.26229,26.358,12.75758
26.517,26.1264,26.517,35.28571,26.517,27.28688,26.518,13.06313
26.677,26.0718,26.677,35.475,26.677,27.29732,26.677,12.91667
26.837,26.2672,26.837,35.48036,26.837,27.1073,26.837,13.13384
26.997,26.1839,26.997,35.80178,26.997,27.29136,26.997,12.99495
27.156,26.0833,27.156,35.5375,27.156,27.01863,27.157,13.01263
27.316,26.2011,27.316,35.69107,27.316,27.13338,27.316,12.96465
27.476,26.2672,27.476,35.28929,27.476,27.12519,27.476,13.08586
27.636,26.2557,27.636,35.48571,27.636,27.14531,27.636,13.00505
27.795,25.8966,27.795,35.54286,27.795,27.26975,27.795,12.92677
27.955,26.1667,27.955,35.45536,27.955,27.07452,27.955,12.90404
28.115,25.8534,28.115,35.38214,28.115,26.97765,28.115,12.95707
28.275,25.931,28.275,35.53393,28.275,27.10283,28.275,12.90404
28.434,26.1839,28.434,35.06786,28.434,27.03428,28.434,12.92929
28.594,25.9425,28.594,35.19643,28.594,27.11625,28.594,12.9798
28.754,26.0948,28.754,34.99107,28.754,27.13636,28.754,13.0101
28.914,26.3247,28.914,35.16071,28.914,27.02682,28.914,13.08586
29.073,26.227,29.073,35.24107,29.073,27.14605,29.073,12.91667
29.233,26.1897,29.233,34.94464,29.233,27.27124,29.233,12.91414
29.393,25.9282,29.393,35.12321,29.393,27.12817,29.393,12.86616
29.553,25.9856,29.553,35.09821,29.553,27.32936,29.553,12.9697
29.712,26.2816,29.712,35.09107,29.712,27.11848,29.712,12.86364
29.872,25.8822,29.872,35.00536,29.872,27.10879,29.872,12.96717
30.032,26.2184,30.032,34.97679,30.032,27.12444,30.032,12.97475
30.192,26.1236,30.192,35.37857,30.192,27.23994,30.192,12.77778
30.351,26.0776,30.351,35.44107,30.351,27.18405,30.351,13.04293
30.511,26.0489,30.511,35.20714,30.511,27.20194,30.511,12.94444
30.671,26.1609,30.671,35.12857,30.671,27.10954,30.671,12.87374
