[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean,X,Y,X,Y
91.719,11735.569,91.682,14998.963,91.719,18055.711,91.674,11640.359,91.719,19929.822,91.719,15272.272
92.665,11747.335,92.627,15013.687,92.665,18040.348,92.619,11638.892,92.665,19977.203,92.665,15154.83
93.611,11757.457,93.572,15005.266,93.611,18059.512,93.564,11629.08,93.611,20234.451,93.611,15052.92
94.556,11765.358,94.517,15024.105,94.556,18085.346,94.51,11628.347,94.556,19883.635,94.556,15181.582
95.502,11766.031,95.462,15005.946,95.502,18057.246,95.455,11642.938,95.502,19737.311,95.502,15130.644
96.447,11745.943,96.407,15004.192,96.447,18152.164,96.4,11616.606,96.447,20098.191,96.447,15254.423
97.393,11715.798,97.353,15006.442,97.393,18141.934,97.345,11622.705,97.393,19915.586,97.393,15105.604
98.338,11718.372,98.298,14996.039,98.338,18128.887,98.29,11625.688,98.338,20033.248,98.338,15088.229
99.284,11730.914,99.243,14945.105,99.284,18102.527,99.235,11625.277,99.284,19619.936,99.284,15034.593
100.23,11715.852,100.188,14985.72,100.23,18054.76,100.18,11654.781,100.23,19825.305,100.23,15158.481
101.175,11748.73,101.133,14986.921,101.175,18097.512,101.125,11607.434,101.175,19896.066,101.175,14991.22
102.121,11692.429,102.078,14968.236,102.121,18110.787,102.07,11633.494,102.121,20003.088,102.121,15053.641
103.066,11717.753,103.024,14996.411,103.066,18118.197,103.015,11624.039,103.066,19825.117,103.066,14932.317
104.012,11725.279,103.969,15003.813,104.012,18090.172,103.961,11603.89,104.012,19715.23,104.012,15014.59
104.957,11688.093,104.914,14974.16,104.957,18114.6,104.906,11633.396,104.957,19772.529,104.957,14993.68
105.903,11699.862,105.859,14962.491,105.903,18119.09,105.851,11602.572,105.903,19967.574,105.903,14986.897
106.848,11689.583,106.804,14989.449,106.848,18092.268,106.796,11617.271,106.848,19501.682,106.848,14981.636
107.794,11714.853,107.749,14985.773,107.794,18105.379,107.741,11607.462,107.794,19863.021,107.794,14880.46
108.74,11721.897,108.695,14969.431,108.74,18105.576,108.686,11597.648,108.74,19747.709,108.74,14895.742
109.685,11685.195,109.64,14972.653,109.685,18139.172,109.631,11609.384,109.685,19627.066,109.685,14826.951
110.631,11671.906,110.585,14978.271,110.631,18073.262,110.576,11615.534,110.631,19761.094,110.631,14871.483
111.576,11676.664,111.53,14986.155,111.576,18052.33,111.521,11577.61,111.576,19488.82,111.576,14807.211
112.522,11658.457,112.475,14978.825,112.522,18083.344,112.466,11585.635,112.522,19939.773,112.522,15154.061
113.467,11703.09,113.42,14988.577,113.467,18069.637,113.411,11577.396,113.467,19711.422,113.467,14986.649
114.413,11695.637,114.366,14962.817,114.413,18055.211,114.357,11589.508,114.413,19638.098,114.413,14987.672
115.359,11664.363,115.311,14965.835,115.359,18038.217,115.302,11586.132,115.359,19652.043,115.359,14877.539
116.304,11688.666,116.256,14972.471,116.304,18036.156,116.247,11595.277,116.304,19588.176,116.304,14882.443
117.25,11686.211,117.201,14977.604,117.25,18026.953,117.192,11564.239,117.25,19630.426,117.25,14686.498
118.195,11646.017,118.146,14965.967,118.195,18010.797,118.137,11571.811,118.195,19946.586,118.195,14820.3
119.141,11646.887,119.091,14961.844,119.141,18032.184,119.082,11567.719,119.141,19813.248,119.141,14779.568
120.086,11673.2,120.037,14955.669,120.086,18025.584,120.027,11563.938,120.086,19597.883,120.086,14692.384
121.032,11618.765,120.982,14975.331,121.032,18033.73,120.972,11554.622,121.032,19839.26,121.032,14874.172
121.977,11624.338,121.927,14979.476,121.977,18003.262,121.917,11561.103,121.977,19737.613,121.977,14827.773
122.923,11681.812,122.872,14961.825,122.923,18013.918,122.862,11542.521,122.923,19731.1,122.923,14698.855
123.869,11650.126,123.817,14951.579,123.869,17984.816,123.808,11566.486,123.869,19334.312,123.869,14637.563
124.814,11610.049,124.762,14958.304,124.814,18018.529,124.753,11568.645,124.814,19720.066,124.814,14771.616
125.76,11656.935,125.708,14991.822,125.76,17988.006,125.698,11565.321,125.76,19711.877,125.76,14701.749
126.705,11609.46,126.653,14998.02,126.705,17968.244,126.643,11577.928,126.705,19473.387,126.705,14612.244
127.651,11642.112,127.598,14959.146,127.651,18038,127.588,11558.037,127.651,19787.689,127.651,14662.922
128.596,11633.281,128.543,14954.36,128.596,18010.855,128.533,11568.231,128.596,19807,128.596,14680.412
129.542,11653.825,129.488,14964.922,129.542,17994.236,129.478,11554.354,129.542,19679.43,129.542,14633.924
130.488,11601.432,130.433,14983.484,130.488,18011.793,130.423,11569.688,130.488,19590.078,130.488,14564.658
131.433,11584.042,131.379,14998.673,131.433,17998.715,131.368,11568.587,131.433,19880.881,131.433,14646.978
132.379,11619.258,132.324,14973.818,132.379,18002.322,132.313,11540.035,132.379,19981.039,132.379,14772.921
133.324,11633.876,133.269,14959.384,133.324,18027.82,133.258,11550.639,133.324,19608.924,133.324,14770.347
134.27,11585.464,134.214,14959.989,134.27,17975.248,134.204,11541.644,134.27,19552.994,134.27,14712.695
135.215,11573.142,135.159,14987.645,135.215,18014.371,135.149,11570.125,135.215,19440.436,135.215,14582.454
136.161,11631.112,136.105,14977.069,136.161,17993.793,136.094,11533.945,136.161,19763.994,136.161,14576.67
137.106,11666.354,137.05,14967.535,137.106,18037.975,137.039,11513.479,137.106,19481.449,137.106,14572.021
138.052,11660.769,137.995,14987.652,138.052,18015.486,137.984,11523.684,138.052,19616.713,138.052,14613.4
138.998,11637.683,138.94,14969.747,138.998,18011.5,138.929,11518.512,138.998,19657.629,138.998,14700.292
139.943,11681.667,139.885,14998.631,139.943,17979.633,139.874,11515.067,139.943,19480.531,139.943,14526.524
140.889,11662.081,140.83,14958.303,140.889,17995.684,140.819,11537.807,140.889,19530.322,140.889,14560.634
141.834,11658.036,141.776,15020.49,141.834,18006.959,141.764,11514.087,141.834,19566.689,141.834,14571.606
142.78,11701.126,142.721,15012.707,142.78,18024.496,142.709,11501.666,142.78,19338.461,142.78,14752.861
143.725,11632.969,143.666,14961.56,143.725,17992.543,143.655,11522.087,143.725,19548.422,143.725,14657.337
144.671,11658.901,144.611,14987.035,144.671,17986.594,144.6,11495.528,144.671,19441.9,144.671,14621.197
