[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean
18.85,18.83401,18.85,21.628,18.85,23.84848,18.85,21.41481,18.85,10.79107
19.01,19.06073,19.01,21.546,19.01,24.00758,19.01,21.71111,19.01,10.75357
19.169,19.09312,19.169,21.502,19.169,24.07008,19.169,21.42222,19.169,10.86607
19.329,19.42105,19.329,21.512,19.329,23.85606,19.329,21.5463,19.329,10.96429
19.489,18.98381,19.489,21.528,19.489,23.83902,19.489,21.52407,19.489,10.65714
19.649,19.21053,19.648,21.34,19.648,24.00568,19.648,21.51852,19.648,10.93036
19.808,19.24291,19.808,21.654,19.808,23.89583,19.808,21.42407,19.808,10.87143
19.968,19.08907,19.968,21.422,19.968,24.0322,19.968,21.4037,19.968,10.74286
20.128,19.11336,20.128,21.392,20.128,23.91667,20.128,21.34444,20.128,10.84464
20.287,18.91903,20.287,21.472,20.287,23.77652,20.287,21.46111,20.287,10.87143
20.447,19.12146,20.447,21.364,20.447,24.05114,20.447,21.48333,20.447,10.73393
20.607,19.33198,20.607,21.472,20.607,24.0928,20.607,21.49259,20.607,10.6875
20.767,19.1498,20.767,21.172,20.767,24.05871,20.767,21.34444,20.767,10.7375
20.926,19.29959,20.926,21.53,20.926,23.91667,20.926,21.49444,20.926,10.7875
21.086,18.93117,21.086,21.602,21.086,24.02083,21.086,21.40185,21.086,10.88036
21.246,19.17004,21.246,21.586,21.246,24.01326,21.246,21.47778,21.246,10.78393
21.406,18.96356,21.406,21.572,21.406,24.12121,21.406,21.48519,21.406,10.75
21.565,19.21053,21.565,21.446,21.565,23.76326,21.565,21.43148,21.565,10.70536
21.725,19.04049,21.725,21.564,21.725,23.88636,21.725,21.30556,21.725,10.53393
21.885,19.04453,21.885,21.69,21.885,23.97917,21.885,21.36296,21.885,10.71607
22.045,19.10526,22.045,21.48,22.045,23.67235,22.045,21.43518,22.045,10.8
22.204,19.10526,22.204,21.61,22.204,23.83333,22.204,21.51481,22.204,10.68929
22.364,19.55061,22.364,21.408,22.364,23.73674,22.364,21.48519,22.364,10.65714
22.524,19.21862,22.524,21.412,22.524,23.76894,22.524,21.47407,22.524,10.7125
22.684,19.30364,22.684,21.706,22.684,23.77083,22.684,21.61481,22.684,10.775
22.843,19.55061,22.843,21.68,22.843,23.82576,22.843,21.40926,22.843,10.69107
23.003,19.52227,23.003,21.392,23.003,23.73674,23.003,21.43333,23.003,10.74821
23.163,19.40486,23.163,21.33,23.163,24.0928,23.163,21.62593,23.163,10.50714
23.323,19.49798,23.323,21.572,23.323,23.7822,23.323,21.41667,23.323,10.65
23.482,19.34413,23.482,21.432,23.482,23.73295,23.482,21.4463,23.482,10.59107
23.642,19.21457,23.642,21.248,23.642,23.82197,23.642,21.51111,23.642,10.71607
23.802,19.46964,23.802,21.698,23.802,23.83144,23.802,21.63704,23.802,10.93393
23.962,19.19433,23.962,21.296,23.962,23.71591,23.962,21.47593,23.962,10.63393
24.121,19.34818,24.121,21.424,24.121,23.78977,24.121,21.5037,24.121,10.5625
24.281,19.47368,24.281,21.548,24.281,23.75947,24.281,21.57407,24.281,10.65714
24.441,19.24696,24.441,21.502,24.441,23.61174,24.441,21.56667,24.441,10.66786
24.601,19.39676,24.601,21.424,24.601,23.68939,24.601,21.51481,24.601,10.71071
24.76,19.2753,24.76,21.452,24.76,23.64394,24.76,21.53148,24.76,10.60893
24.92,19.05263,24.92,21.352,24.92,23.98674,24.92,21.63704,24.92,10.57321
25.08,19.32389,25.08,21.322,25.08,23.63258,25.08,21.52222,25.08,10.68214
25.24,19.44939,25.24,21.386,25.24,23.79167,25.24,21.42407,25.24,10.56964
25.399,19.29555,25.399,21.352,25.399,23.77841,25.399,21.57963,25.399,10.60179
25.559,19.4251,25.559,21.498,25.559,23.79924,25.559,21.52407,25.559,10.59643
25.719,18.98381,25.719,21.532,25.719,23.69318,25.719,21.34815,25.719,10.59107
25.879,19.46964,25.879,21.426,25.879,23.75,25.879,21.72037,25.879,10.7375
26.038,19.26721,26.038,21.37,26.038,23.70265,26.038,21.55,26.038,10.62321
26.198,19.49798,26.198,21.386,26.198,23.74811,26.198,21.57407,26.198,10.61964
26.358,19.49393,26.358,21.544,26.358,23.73295,26.358,21.65926,26.358,10.7
26.518,19.12146,26.517,21.278,26.517,23.88258,26.517,21.6,26.517,10.56607
26.677,19.50607,26.677,21.536,26.677,23.68561,26.677,21.57407,26.677,10.67321
26.837,19.27126,26.837,21.5,26.837,23.73106,26.837,21.38704,26.837,10.57321
26.997,19.48583,26.997,21.694,26.997,24.02083,26.997,21.68333,26.997,10.55893
27.156,19.21053,27.156,21.554,27.156,23.80114,27.156,21.46482,27.156,10.59107
27.316,19.09717,27.316,21.608,27.316,23.67045,27.316,21.30741,27.316,10.49821
27.476,19.25506,27.476,21.538,27.476,23.64962,27.476,21.43148,27.476,10.54821
27.636,19.35223,27.636,21.184,27.636,23.64962,27.636,21.38148,27.636,10.57143
27.795,19.34413,27.795,21.532,27.795,23.71023,27.795,21.47778,27.795,10.59107
27.955,19.20243,27.955,21.466,27.955,23.95076,27.955,21.40556,27.955,10.49464
28.115,19.27126,28.115,21.236,28.115,23.68371,28.115,21.43889,28.115,10.62857
28.275,19.33198,28.275,21.308,28.275,23.50568,28.275,21.47963,28.275,10.65536
28.434,19.40081,28.434,21.342,28.434,23.76326,28.434,21.46667,28.434,10.45714
28.594,19.56275,28.594,21.352,28.594,23.64773,28.594,21.61481,28.594,10.58214
28.754,19.18219,28.754,21.376,28.754,23.82955,28.754,21.37037,28.754,10.55536
28.914,19.55466,28.914,21.61,28.914,23.55492,28.914,21.57778,28.914,10.65
29.073,19.4413,29.073,21.438,29.073,23.72159,29.073,21.5537,29.073,10.61786
29.233,19.417,29.233,21.628,29.233,23.65909,29.233,21.69259,29.233,10.63571
29.393,19.24291,29.393,21.508,29.393,23.59659,29.393,21.50185,29.393,10.60536
29.553,19.4251,29.553,21.366,29.553,23.7178,29.553,21.42407,29.553,10.6125
29.712,19.17004,29.712,21.358,29.712,23.60795,29.712,21.53889,29.712,10.58571
29.872,19.17004,29.872,21.512,29.872,24.07386,29.872,21.35741,29.872,10.67321
30.032,19.27126,30.032,21.618,30.032,23.5625,30.032,21.47407,30.032,10.53929
30.192,19.40486,30.192,21.196,30.192,23.73864,30.192,21.42593,30.192,10.4625
30.351,19.417,30.351,21.268,30.351,23.70644,30.351,21.51667,30.351,10.50714
30.511,19.583,30.511,21.316,30.511,23.68561,30.511,21.48889,30.511,10.70714
30.671,19.02429,30.671,21.212,30.671,23.59659,30.671,21.54815,30.671,10.52143
30.831,19.76923,30.831,21.406,30.831,23.55492,30.831,21.25926,30.831,10.53571
30.99,19.15385,30.99,21.402,30.99,23.85417,30.99,21.42963,30.99,10.73036
31.15,19.09312,31.15,21.342,31.15,23.64015,31.15,21.48704,31.15,10.41071
31.31,19.38866,31.31,21.4,31.31,23.56061,31.31,21.46296,31.31,10.55536
31.47,19.46154,31.47,21.558,31.47,23.53598,31.47,21.53889,31.47,10.56071
31.629,19.08907,31.629,21.586,31.629,23.66856,31.629,21.5037,31.629,10.6125
31.789,19.34818,31.789,21.41,31.789,23.63258,31.789,21.37407,31.789,10.45714
31.949,19.62348,31.949,21.538,31.949,23.64962,31.949,21.46667,31.949,10.44286
32.109,19.64777,32.109,21.368,32.109,23.56439,32.109,21.51667,32.109,10.51786
32.268,19.0081,32.268,21.426,32.268,23.7197,32.268,21.43704,32.268,10.65357
32.428,19.35628,32.428,21.292,32.428,23.76894,32.428,21.47407,32.428,10.43929
32.588,19.02024,32.588,21.208,32.588,23.64962,32.588,21.4963,32.588,10.46786
32.748,19.52632,32.747,21.47,32.747,23.48864,32.747,21.38889,32.747,10.60179
32.907,19.21457,32.907,21.33,32.907,23.60985,32.907,21.32963,32.907,10.66786
33.067,19.34008,33.067,21.452,33.067,23.79545,33.067,21.52963,33.067,10.44643
33.227,19.35628,33.227,21.51,33.227,23.88258,33.227,21.47778,33.227,10.51071
33.386,19.59109,33.386,21.32,33.386,23.91098,33.386,21.38148,33.386,10.35536
33.546,19.46964,33.546,21.498,33.546,23.67424,33.546,21.49815,33.546,10.32857
33.706,19.57085,33.706,21.438,33.706,23.5303,33.706,21.52963,33.706,10.44821
33.866,19.34818,33.866,21.32,33.866,23.57955,33.866,21.51296,33.866,10.625
34.025,19.27126,34.025,21.15,34.025,23.81439,34.025,21.26667,34.025,10.59107
34.185,19.38057,34.185,21.48,34.185,23.78409,34.185,21.48519,34.185,10.64286
34.345,19.36437,34.345,21.278,34.345,23.57197,34.345,21.51111,34.345,10.525
34.505,19.23482,34.505,21.318,34.505,23.77083,34.505,21.55556,34.505,10.61786
34.664,19.59109,34.664,21.526,34.664,23.56818,34.664,21.31667,34.664,10.56429
34.824,19.46154,34.824,21.564,34.824,23.51705,34.824,21.35741,34.824,10.65
34.984,19.55061,34.984,21.516,34.984,23.51326,34.984,21.36111,34.984,10.73929
35.144,19.21862,35.144,21.47,35.144,23.57576,35.144,21.57963,35.144,10.50536
35.303,19.30364,35.303,21.494,35.303,23.90341,35.303,21.60185,35.303,10.38214
35.463,19.31984,35.463,21.554,35.463,23.67803,35.463,21.47593,35.463,10.54286
35.623,19.57085,35.623,21.384,35.623,23.5,35.623,21.26296,35.623,10.63214
35.783,19.2915,35.783,21.43,35.783,23.44508,35.783,21.25185,35.783,10.59821
35.942,19.47368,35.942,21.264,35.942,23.47348,35.942,21.57593,35.942,10.46964
36.102,19.34818,36.102,21.49,36.102,23.52841,36.102,21.57963,36.102,10.49643
36.262,19.31174,36.262,21.452,36.262,23.3447,36.262,21.46296,36.262,10.44821
36.422,19.50607,36.422,21.308,36.422,23.64394,36.422,21.52778,36.422,10.51786
36.581,19.44939,36.581,21.318,36.581,23.48674,36.581,21.54815,36.581,10.625
36.741,19.70445,36.741,21.66,36.741,23.75189,36.741,21.35,36.741,10.42321
36.901,19.19433,36.901,21.388,36.901,23.38636,36.901,21.37963,36.901,10.48393
37.061,19.2753,37.061,21.296,37.061,23.57576,37.061,21.45185,37.061,10.49464
37.22,19.47773,37.22,21.574,37.22,23.6875,37.22,21.5537,37.22,10.42857
37.38,19.27935,37.38,21.42,37.38,23.60038,37.38,21.47593,37.38,10.45714
37.54,19.35628,37.54,21.638,37.54,23.44886,37.54,21.38889,37.54,10.36964
37.7,19.51417,37.7,21.496,37.7,23.70076,37.7,21.41111,37.7,10.40357
37.859,19.05263,37.859,21.6,37.859,23.55682,37.859,21.45555,37.859,10.59464
38.019,19.56275,38.019,21.496,38.019,23.52273,38.019,21.33889,38.019,10.61071
38.179,19.4332,38.179,21.504,38.179,23.63826,38.179,21.21667,38.179,10.48214
38.339,19.39271,38.339,21.598,38.339,23.77462,38.339,21.44259,38.339,10.53929
38.498,19.10931,38.498,21.53,38.498,23.61553,38.498,21.50556,38.498,10.58214
38.658,19.83806,38.658,21.232,38.658,23.50758,38.658,21.36667,38.658,10.48393
38.818,19.46559,38.818,21.346,38.818,23.62689,38.818,21.68518,38.818,10.525
38.978,19.34413,38.978,21.634,38.978,23.5947,38.978,21.44259,38.978,10.44464
39.137,19.36032,39.137,21.334,39.137,23.69886,39.137,21.4463,39.137,10.56786
39.297,19.50607,39.297,21.392,39.297,23.58144,39.297,21.41852,39.297,10.48571
39.457,19.37652,39.457,21.534,39.457,23.60606,39.457,21.61296,39.457,10.5
39.617,19.30364,39.616,21.382,39.616,23.46212,39.616,21.43333,39.616,10.6125
39.776,19.65587,39.776,21.48,39.776,23.59091,39.776,21.55556,39.776,10.29643
39.936,19.25911,39.936,21.462,39.936,23.50758,39.936,21.38148,39.936,10.52143
40.096,19.39271,40.096,21.422,40.096,23.57386,40.096,21.31482,40.096,10.47143
40.255,19.36437,40.255,21.412,40.255,23.53788,40.255,21.50741,40.255,10.48393
40.415,19.32389,40.415,21.5,40.415,23.29545,40.415,21.39444,40.415,10.55357
40.575,19.07287,40.575,21.578,40.575,23.35417,40.575,21.29815,40.575,10.39464
40.735,19.53441,40.735,21.564,40.735,23.66667,40.735,21.32778,40.735,10.51429
40.894,19.22672,40.894,21.51,40.894,23.50758,40.894,21.17778,40.894,10.36964
41.054,19.12146,41.054,21.584,41.054,23.69129,41.054,21.52593,41.054,10.40893
41.214,19.41296,41.214,21.41,41.214,23.57955,41.214,21.59074,41.214,10.3
41.374,19.46559,41.374,21.366,41.374,23.23295,41.374,21.34444,41.374,10.35893
41.533,19.23077,41.533,21.528,41.533,23.51326,41.533,21.5463,41.533,10.52857
41.693,19.22672,41.693,21.226,41.693,23.35606,41.693,21.33519,41.693,10.51964
41.853,19.52632,41.853,21.632,41.853,23.41288,41.853,21.19815,41.853,10.49286
42.013,19.24291,42.013,21.448,42.013,23.49242,42.013,21.45741,42.013,10.46607
42.172,19.38461,42.172,21.63,42.172,23.52273,42.172,21.51296,42.172,10.52679
42.332,19.46559,42.332,21.528,42.332,23.49053,42.332,21.35556,42.332,10.42321
42.492,19.32794,42.492,21.554,42.492,23.56061,42.492,21.50926,42.492,10.37857
42.652,18.89878,42.652,21.37,42.652,23.58144,42.652,21.58704,42.652,10.51071
42.811,19.17409,42.811,21.46,42.811,23.37311,42.811,21.6037,42.811,10.51607
42.971,19.4332,42.971,21.21,42.971,23.39583,42.971,21.31482,42.971,10.43571
43.131,19.49393,43.131,21.346,43.131,23.65341,43.131,21.63704,43.131,10.33571
43.291,19.25911,43.291,21.432,43.291,23.5947,43.291,21.54445,43.291,10.46071
43.45,19.50202,43.45,21.318,43.45,23.69886,43.45,21.61481,43.45,10.37857
43.61,19.42105,43.61,21.414,43.61,23.55871,43.61,21.56852,43.61,10.37857
43.77,19.26316,43.77,21.318,43.77,23.46023,43.77,21.53889,43.77,10.37143
43.93,19.29959,43.93,21.488,43.93,23.43371,43.93,21.7,43.93,10.40714
44.089,19.15385,44.089,21.442,44.089,23.39205,44.089,21.47037,44.089,10.45536
44.249,19.12551,44.249,21.362,44.249,23.42992,44.249,21.46667,44.249,10.52321
44.409,19.48178,44.409,21.5,44.409,23.57386,44.409,21.64444,44.409,10.59821
44.569,19.42105,44.569,21.426,44.569,23.41098,44.569,21.49259,44.569,10.44107
44.728,19.1417,44.728,21.402,44.728,23.50758,44.728,21.43518,44.728,10.52321
44.888,19.25911,44.888,21.448,44.888,23.58333,44.888,21.55185,44.888,10.41964
45.048,19.38461,45.048,21.282,45.048,23.51515,45.048,21.57778,45.048,10.44286
45.208,19.1498,45.208,21.62,45.208,23.32765,45.208,21.37037,45.208,10.46786
45.367,19.33198,45.367,21.188,45.367,23.38068,45.367,21.53704,45.367,10.33571
45.527,19.60324,45.527,21.388,45.527,23.57386,45.527,21.51111,45.527,10.36786
45.687,19.20648,45.687,21.206,45.687,23.36932,45.687,21.4963,45.687,10.48929
45.847,18.91498,45.846,21.31,45.846,23.46023,45.846,21.47222,45.846,10.41786
46.006,19.37652,46.006,21.468,46.006,23.41288,46.006,21.46667,46.006,10.57321
46.166,19.38866,46.166,21.61,46.166,23.39394,46.166,21.53518,46.166,10.19107
46.326,19.4251,46.326,21.488,46.326,23.33144,46.326,21.67037,46.326,10.48393
46.486,19.27935,46.485,21.21,46.485,23.55114,46.485,21.37407,46.485,10.43036
46.645,19.27935,46.645,21.354,46.645,23.49242,46.645,21.46296,46.645,10.41429
46.805,19.19433,46.805,21.244,46.805,23.5303,46.805,21.6463,46.805,10.43036
46.965,19.49393,46.965,21.632,46.965,23.52083,46.965,21.40556,46.965,10.58393
47.124,19.38461,47.124,21.49,47.124,23.53598,47.124,21.47037,47.124,10.3375
47.284,19.36842,47.284,21.376,47.284,23.35038,47.284,21.6,47.284,10.45357
47.444,19.25101,47.444,21.392,47.444,23.50568,47.444,21.32407,47.444,10.51786
47.604,19.32389,47.604,21.362,47.604,23.47348,47.604,21.45555,47.604,10.52321
47.763,19.36032,47.763,21.384,47.763,23.44886,47.763,21.36852,47.763,10.36786
47.923,19.32389,47.923,21.384,47.923,23.19886,47.923,21.27963,47.923,10.30714
48.083,19.4332,48.083,21.33,48.083,23.625,48.083,21.38519,48.083,10.33571
48.243,19.10526,48.243,21.3,48.243,23.4678,48.243,21.36296,48.243,10.45179
48.402,19.43725,48.402,21.488,48.402,23.52273,48.402,21.35185,48.402,10.25536
48.562,19.36842,48.562,21.382,48.562,23.36553,48.562,21.5,48.562,10.33214
48.722,19.19028,48.722,21.476,48.722,23.42614,48.722,21.52407,48.722,10.425
48.882,19.27935,48.882,21.294,48.882,23.4375,48.882,21.30556,48.882,10.38036
49.041,19.5587,49.041,21.48,49.041,23.36553,49.041,21.44815,49.041,10.25893
49.201,19.74089,49.201,21.426,49.201,23.42424,49.201,21.56111,49.201,10.39286
49.361,19.19028,49.361,21.32,49.361,23.35795,49.361,21.50926,49.361,10.24821
49.521,19.48583,49.521,21.564,49.521,23.4678,49.521,21.47222,49.521,10.31429
49.68,19.4413,49.68,21.512,49.68,23.41667,49.68,21.50185,49.68,10.33393
