X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
84.155,12675.622,84.155,6186.159,84.155,6219.283,84.155,9311.982,84.155,8056.241,84.155,9467.332,84.155,7025.447
85.101,12767.053,85.101,6349.639,85.101,6420.712,85.101,9304.357,85.101,8118.594,85.101,9372.208,85.101,6975.207
86.046,12395.955,86.046,6507.047,86.046,6311.354,86.046,9333.402,86.046,7598.363,86.046,9269.719,86.046,6989.685
86.992,12580.046,86.992,6520.063,86.992,6349.099,86.992,9306.207,86.992,7988.653,86.992,9367.67,86.992,6947.084
87.937,12626.563,87.937,6509.294,87.937,6199.099,87.937,9144.706,87.937,7859.823,87.937,9268.977,87.937,6980.873
88.883,12608.885,88.883,6472.052,88.883,6305.019,88.883,9184.549,88.883,8080.602,88.883,9478.199,88.883,6998.03
89.828,12569.905,89.828,6506.225,89.828,6377.613,89.828,9259.381,89.828,7962.038,89.828,9348.91,89.828,6922.435
90.774,12675.214,90.774,6617.495,90.774,6272.692,90.774,9138.697,90.774,8112.83,90.774,9320.44,90.774,6939.703
91.719,12667.83,91.719,6589.237,91.719,6486.324,91.719,9152.707,91.719,8106.445,91.719,9340.047,91.72,7002.156
92.665,12504.942,92.665,6593.082,92.665,6094.647,92.665,9181.226,92.665,8209.553,92.665,9292.918,92.665,6967.326
93.611,12502.276,93.611,6606.183,93.611,6270.169,93.611,9474.957,93.611,7873.749,93.611,9278.557,93.611,6929.635
94.556,12526.617,94.556,6503.421,94.556,6173.256,94.556,9158.232,94.556,7903.623,94.556,9369.378,94.556,6971.318
95.502,12574.408,95.502,6609.595,95.502,6319.302,95.502,9328.763,95.502,8057.291,95.502,9114.953,95.502,6786.965
96.447,12485.445,96.447,6531.53,96.447,6409.167,96.447,9286.598,96.447,8043.577,96.447,9307.392,96.447,6819.708
97.393,12423.065,97.393,6545.498,97.393,6355.024,97.393,9234.018,97.393,8122.965,97.393,9215.694,97.393,6899.681
98.338,12273.519,98.338,6547.088,98.338,6379.006,98.338,9068.345,98.338,7947.186,98.338,9278.074,98.339,7025.614
99.284,12355.359,99.284,6530.968,99.284,6324.907,99.284,9171.265,99.284,8038.273,99.284,9177.799,99.284,6866.636
100.23,12417.759,100.23,6538.539,100.23,6242.513,100.23,9059.49,100.23,8118.641,100.23,9272.386,100.23,6903.488
101.175,12486.958,101.175,6558.904,101.175,6234.206,101.175,9183.904,101.175,8204.752,101.175,9154.323,101.175,6884.586
102.121,12642.315,102.121,6590.116,102.121,6414.534,102.121,9290.188,102.121,8293.387,102.121,9195.854,102.121,6840.938
103.066,12453.882,103.066,6530.504,103.066,6512.316,103.066,9184.599,103.066,8156.384,103.066,9048.935,103.066,6812.292
104.012,12490.081,104.012,6594.666,104.012,6546.506,104.012,9008.726,104.012,8010.819,104.012,9149.506,104.012,6831.103
104.957,12449.599,104.957,6526.343,104.957,6398.044,104.957,9113.453,104.957,8036.625,104.957,9140.939,104.957,6797.242
105.903,12463.099,105.903,6528.011,105.903,6498.063,105.903,9045.363,105.903,8083.321,105.903,9361.805,105.903,6888.695
106.848,12306.464,106.848,6576.957,106.848,6498.718,106.848,9099.734,106.848,8193.1,106.848,9124.929,106.849,6927.633
107.794,12304.073,107.794,6486.698,107.794,6437.652,107.794,9034.882,107.794,8242.374,107.794,9154.593,107.794,6856.064
108.74,12347.342,108.74,6508.778,108.74,6264.513,108.74,9102.478,108.74,7982.448,108.74,9025.991,108.74,6807.92
109.685,12082.275,109.685,6521.789,109.685,6417.861,109.685,9108.016,109.685,8130.368,109.685,9050.449,109.685,6759.587
110.631,12410.046,110.631,6575.919,110.631,6419.001,110.631,9226.67,110.631,8224.353,110.631,9034.745,110.631,6786.939
111.576,12375.754,111.576,6571.49,111.576,6457.386,111.576,9111.353,111.576,8307.595,111.576,9203.723,111.576,6778.533
112.522,12573.169,112.522,6517.195,112.522,6540.581,112.522,9012.872,112.522,8341.982,112.522,9143.916,112.522,6853.662
113.467,12215.787,113.467,6496.12,113.467,6259.503,113.467,9074.277,113.467,8113.754,113.467,9088.988,113.468,6846.132
114.413,12446.419,114.413,6498.857,114.413,6415.49,114.413,9208.328,114.413,8054.494,114.413,9127.322,114.413,6883.031
115.359,12221.746,115.359,6476.236,115.359,6337.829,115.359,9105.614,115.359,7973.055,115.359,9043.554,115.359,6815.016
116.304,12141.41,116.304,6480.031,116.304,6529.663,116.304,9054.271,116.304,7953.203,116.304,9079.593,116.304,6790.796
117.25,12256.632,117.25,6499.758,117.25,6422.101,117.25,9038.461,117.25,8031.449,117.25,9219.058,117.25,6753.071
118.195,12352.561,118.195,6462.356,118.195,6248.858,118.195,9317.885,118.195,8094.293,118.195,9046.578,118.195,6774.9
119.141,12299.838,119.141,6469.072,119.141,6431.777,119.141,8892.424,119.141,8230.499,119.141,9069.872,119.141,6827.393
120.086,12380.666,120.086,6445.784,120.086,6416.503,120.086,9077.71,120.086,8314.055,120.086,8957.003,120.086,6746.909
121.032,12361.395,121.032,6471.757,121.032,6502.447,121.032,9091.688,121.032,8056.909,121.032,9046.737,121.032,6814.448
121.977,12245.964,121.977,6473.215,121.977,6425.041,121.977,9016.335,121.977,8227.067,121.977,9081.732,121.978,6681.504
122.923,12251.63,122.923,6423.908,122.923,6334.588,122.923,9085.955,122.923,8129.742,122.923,8861.16,122.923,6725.818
123.869,12305.153,123.869,6464.99,123.869,6667.932,123.869,9091.891,123.869,8149.434,123.869,9048.958,123.869,6748.266
124.814,12199.223,124.814,6464.564,124.814,6356.471,124.814,8990.442,124.814,8288.305,124.814,8957.273,124.814,6737.617
