X,Y,X,Y,X,Y,X,Y
185.33,14899.33,185.33,11268.782,185.33,19189.41,185.33,5934.516
186.276,14952.364,186.276,11297.8,186.276,19306.236,186.276,6025.632
187.221,15053.92,187.221,11185.684,187.221,19310.957,187.221,5902.749
188.167,14711.038,188.167,11133.395,188.167,19131.221,188.167,5815.762
189.112,14880.096,189.112,11333.475,189.112,19274.381,189.112,6134.298
190.058,14841.369,190.058,11192.344,190.058,19198.529,190.058,5982.4
191.003,14914.288,191.003,11309.855,191.003,19245.6,191.003,6116.276
191.949,14721.344,191.949,11381.144,191.949,19091.129,191.949,5889.998
192.895,14718.599,192.895,11410.222,192.895,18943.449,192.895,5895.956
193.84,14713.217,193.84,11322.172,193.84,19065.195,193.84,6024.456
194.786,14816.77,194.786,11517.353,194.786,19171.783,194.786,6010.887
195.731,14647.054,195.731,11371.169,195.731,19085.244,195.731,6029.664
196.677,14788.595,196.677,11308.342,196.677,19063.947,196.677,5842.445
197.622,14736.241,197.622,11236.121,197.622,19051.84,197.622,5755.797
198.568,14742.118,198.568,11262.996,198.568,18999.416,198.568,5899.845
199.513,14773.195,199.514,11165.79,199.514,18946.936,199.513,5955.051
200.459,14673.96,200.459,11169.896,200.459,19199.379,200.459,6056.502
201.405,14547.416,201.405,11111.183,201.405,19003.158,201.405,5892.112
202.35,14663.578,202.35,11068.739,202.35,18864.59,202.35,6134.913
203.296,14812.562,203.296,11114.438,203.296,18948.996,203.296,5923.06
204.241,14818.18,204.241,11215.514,204.241,19185.324,204.241,6060.285
205.187,14764.646,205.187,11082.616,205.187,18962.422,205.187,5804.125
206.132,14946.722,206.132,11234.998,206.132,18867.42,206.132,5858.701
207.078,14902.746,207.078,10878.938,207.078,18741.322,207.078,5936.293
208.024,14921.222,208.024,11110.072,208.024,18985.652,208.024,5899.916
208.969,15038.652,208.969,11168.023,208.969,19019.809,208.969,5899.806
209.915,14921.108,209.915,11203.289,209.915,18720.689,209.915,5927.844
210.86,14894.634,210.86,11120.559,210.86,18800.32,210.86,6069.141
211.806,14947.487,211.806,11021.887,211.806,18959.486,211.806,5955.456
212.751,14950.304,212.751,10946.426,212.751,18649.396,212.751,5775.899
213.697,14999.102,213.697,11020.771,213.697,18722.234,213.697,5953.975
214.642,14897.857,214.643,11023.844,214.643,18842.438,214.642,5972.134
215.588,14937.131,215.588,11107.023,215.588,18712.031,215.588,5917.154
216.534,15076.522,216.534,11082.095,216.534,18617.434,216.534,5807.986
217.479,15002.166,217.479,11196.379,217.479,18707.949,217.479,5787.397
218.425,15019.956,218.425,11017.874,218.425,18618.422,218.425,5977.696
219.37,14849.539,219.37,11144.559,219.37,18545.078,219.37,5881.213
220.316,14997.354,220.316,11148.299,220.316,18510.094,220.316,6048.581
221.261,15065.393,221.261,11133.979,221.261,18450.84,221.261,5828.191
222.207,14987.571,222.207,11091.588,222.207,18448.576,222.207,5754.203
223.153,15063.923,223.153,11102.885,223.153,18510.328,223.153,6003.009
224.098,14984.226,224.098,11035.129,224.098,18430.035,224.098,6104.631
225.044,15037.672,225.044,11038.505,225.044,18549.361,225.044,6468.12
225.989,14846.021,225.989,10991.136,225.989,18551.084,225.989,6625.048
226.935,15033.011,226.935,10967.568,226.935,18286.037,226.935,6476.508
227.88,15050.815,227.88,11002.396,227.88,18569.588,227.88,6787.52
228.826,14836.685,228.826,11003.691,228.826,18373.895,228.826,6899.317
229.771,14994.188,229.772,10963.659,229.772,18300.547,229.771,7141.336
230.717,14844.78,230.717,10970.994,230.717,18331.479,230.717,7243.464
231.663,15039.371,231.663,11084.425,231.663,18482.775,231.663,7364.561
232.608,14998.062,232.608,10966.406,232.608,18343.65,232.608,7532.236
233.554,14918.03,233.554,11153.836,233.554,18507.219,233.554,7752.931
234.499,14919.496,234.499,11035.648,234.499,18252.967,234.499,7837.38
235.445,14929.653,235.445,11141.393,235.445,18344.902,235.445,7957.814
236.39,14799.201,236.39,10976.05,236.39,18279.303,236.39,7925.174
237.336,14858.326,237.336,10952.789,237.336,18348.154,237.336,7743.901
238.282,14814.931,238.282,10893.445,238.282,18476.748,238.282,8074.775
239.227,14921.558,239.227,10885.478,239.227,18510.426,239.227,7971.533
240.173,14863.928,240.173,11010.879,240.173,18360.986,240.173,7706.021
241.118,14887.922,241.118,11067.272,241.118,18408.131,241.118,7824.779
242.064,14807.063,242.064,10934.589,242.064,18414.195,242.064,7968.602
243.009,14818.137,243.009,10986.498,243.009,18345.035,243.009,7812.924
243.955,14814.511,243.955,10935.511,243.955,18355.793,243.955,7827.234
244.9,14848.249,244.901,11134.89,244.901,18419.414,244.9,8175.845
245.846,14744.458,245.846,10962.476,245.846,18184.295,245.846,7881.519
246.792,14809.852,246.792,10963.999,246.792,18269.424,246.792,7979.508
247.737,14918.875,247.737,10904.991,247.737,18181.352,247.737,7611.923
248.683,14732.892,248.683,11075.774,248.683,18205.4,248.683,7725.069
249.628,14676.843,249.628,11030.953,249.628,18155.041,249.628,7781.698
250.574,14735.52,250.574,10906.647,250.574,18181.461,250.574,8036.52
251.519,14824.915,251.519,10901.731,251.519,18184.994,251.519,7830.111
252.465,14736.67,252.465,10891.65,252.465,18020.957,252.465,8012.21
253.411,14776.714,253.411,10952.247,253.411,18119.418,253.411,7816.29
254.356,14828.837,254.356,10814.248,254.356,17993.49,254.356,8019.934
255.302,14804.71,255.302,10901.474,255.302,18324.861,255.302,7896.373
256.247,14798.066,256.247,11057.401,256.247,18181.578,256.247,7976.452
257.193,14624.049,257.193,10915.447,257.193,18129.188,257.193,7899.187
258.138,14801.988,258.138,10891.38,258.138,18125.666,258.138,7768.159
259.084,14740.764,259.084,11078.319,259.084,18146.002,259.084,7922.823
