[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean
37.38,6.80972,37.38,6.5,37.38,7.26894,37.38,16.56852,37.38,5.75179
37.54,6.98785,37.54,6.518,37.54,7.4072,37.54,16.45741,37.54,5.65
37.7,7.11741,37.7,6.54,37.7,7.28598,37.7,16.55,37.7,5.68214
37.859,7.06883,37.859,6.46,37.859,7.37311,37.859,16.63519,37.859,5.73393
38.019,7.06883,38.019,6.456,38.019,7.29356,38.019,16.49444,38.019,5.75714
38.179,7.11741,38.179,6.452,38.179,7.3447,38.179,16.61296,38.179,5.79286
38.339,6.9919,38.339,6.412,38.339,7.33523,38.339,16.4463,38.339,5.72143
38.498,6.88664,38.498,6.474,38.498,7.45455,38.498,16.63704,38.498,5.70893
38.658,6.84615,38.658,6.332,38.658,7.29356,38.658,16.59444,38.658,5.75357
38.818,6.95951,38.818,6.556,38.818,7.37121,38.818,16.65185,38.818,5.75357
38.978,6.88259,38.978,6.426,38.978,7.32765,38.978,16.52037,38.978,5.7875
39.137,7.06478,39.137,6.38,39.137,7.4053,39.137,16.45185,39.137,5.79643
39.297,7.04049,39.297,6.43,39.297,7.28788,39.297,16.64259,39.297,5.6375
39.457,6.85425,39.457,6.54,39.457,7.24621,39.457,16.73704,39.457,5.79286
39.617,6.82186,39.616,6.378,39.616,7.32197,39.616,16.55,39.616,5.78036
39.776,6.94737,39.776,6.352,39.776,7.21023,39.776,16.56667,39.776,5.71429
39.936,7.13765,39.936,6.446,39.936,7.32008,39.936,16.54074,39.936,5.75536
40.096,7.05263,40.096,6.524,40.096,7.39394,40.096,16.6,40.096,5.75714
40.255,7.01619,40.255,6.466,40.255,7.28598,40.255,16.63519,40.255,5.80714
40.415,6.93117,40.415,6.388,40.415,7.39962,40.415,16.47407,40.415,5.71429
40.575,6.93927,40.575,6.45,40.575,7.39015,40.575,16.57407,40.575,5.71607
40.735,6.91903,40.735,6.438,40.735,7.17424,40.735,16.62778,40.735,5.74464
40.894,6.87045,40.894,6.502,40.894,7.30492,40.894,16.66852,40.894,5.74643
41.054,6.93522,41.054,6.448,41.054,7.10985,41.054,16.45926,41.054,5.7
41.214,6.89879,41.214,6.372,41.214,7.27841,41.214,16.56852,41.214,5.69107
41.374,7.10121,41.374,6.322,41.374,7.36174,41.374,16.56482,41.374,5.66429
41.533,6.98381,41.533,6.378,41.533,7.24811,41.533,16.56852,41.533,5.77679
41.693,6.93927,41.693,6.42,41.693,7.21591,41.693,16.58704,41.693,5.7375
41.853,7.09312,41.853,6.384,41.853,7.17803,41.853,16.61667,41.853,5.75536
