Slice,Mean
705,48.5338
706,48.2890
707,48.0926
708,47.8989
709,48.0901
710,48.1106
711,48.4342
712,48.2164
713,48.6252
714,48.1020
715,48.4638
716,48.0551
717,48.6111
718,48.6879
719,49.0964
720,48.4324
721,48.4867
722,48.6001
723,48.5073
724,48.0500
725,48.1465
726,48.1475
727,47.8559
728,48.1775
729,48.0865
730,48.1643
731,48.0510
732,48.6798
733,48.7031
734,48.4164
735,48.5552
736,48.7400
737,48.4403
738,48.3463
739,48.3651
740,48.9365
741,48.1937
742,48.5658
743,48.3688
744,48.0849
745,48.3196
746,48.0807
747,48.1223
748,47.4894
749,48.4304
750,48.2017
751,47.8820
752,48.0108
753,47.8541
754,47.9935
755,48.0153
756,47.4632
757,47.9846
758,48.2442
759,47.9310
760,48.2636
761,48.0835
762,47.9240
763,47.3422
764,48.2082
765,48.0584
766,47.9610
767,47.5875
768,47.8536
769,47.5580
770,47.9424
771,47.8520
772,47.7690
773,47.6943
774,47.8528
775,47.3610
776,47.7301
777,47.6925
778,47.4404
779,47.2000
780,47.3267
781,48.1018
782,47.6873
783,47.2183
784,47.4338
785,47.6841
786,47.9708
787,47.7494
788,47.8309
789,48.1594
790,47.3976
791,47.7426
792,47.2935
793,47.8403
794,48.1826
795,47.8195
796,47.6987
797,47.6745
798,47.7497
799,47.5896
800,47.9649
801,47.1689
802,47.5253
803,47.3237
804,47.3608
805,47.6391
806,47.8489
807,47.4406
808,47.0424
809,47.7679
810,47.3180
811,47.4815
812,46.8919
813,47.3707
814,47.0920
815,47.1867
816,47.4034
817,47.3307
818,47.3050
819,47.2064
820,46.9742
821,47.6577
822,46.9295
823,47.0809
824,46.8901
825,47.3135
826,46.8514
827,46.8510
828,47.1877
829,46.6699
830,47.4650
831,46.8895
832,47.1038
833,47.0173
834,47.0060
835,46.8271
836,46.7346
837,47.3504
838,47.0792
839,47.2594
